Mission Subphase,Sol,Centroid Longitude,Centroid Latitude,Area,Maximum Latitude,Minimum Latitude,Confidence Interval,Horizontal Distance,Vertical Distance
B02,31,-31.35,-15.35,1394293.5,1.45,-30.45,75,745.5160840610444,1887.1381263834949
B02,31,131.05,26.65,402553.41,20.15,20.05,75,64762.53244282995,5.9157934996347885
B02,32,-7.34999,-43.25,173400.95,-39.65,-47.85,75,360.73798664099576,485.0950669700519
B02,32,135.85,27.25,431022.69,33.45,19.85,75,534.1410180947215,804.5479159503302
B02,32,-160.85,32.35,132925.62,35.95,28.45,75,299.3136048438287,443.68451247260873
B02,33,144.45,34.25,613119.5,44.55,23.65,75,497.76498784073124,1236.400841423669
B02,33,52.15,-40.05,765002.94,-29.25,-48.55,75,662.1682491213232,1141.7481454295123
B03,2,-113.65,-44.45,166632.31,-41.15,-47.45,75,446.18197255058277,372.6949904769917
B03,2,60.75,-33.15,60844.289,-30.55,-35.85,75,194.2377170828589,313.5370554806434
B03,3,-106.45,-45.05,88441.094,-41.95,-47.95,50,248.84580349257664,354.9476099780865
B03,4,126.95,-34.05,173148.81,-30.95,-37.35,75,458.1055273326813,378.61078397662607
B03,4,156.55,-34.15,814340.12,-21.85,-46.05,50,571.7234343365128,1431.6220269116166
B03,4,115.35,-25.15,62142.785,-23.05,-27.15,75,256.15850482307235,242.54753348502595
B03,5,-152.15,-41.45,1280599.5,-29.45,-54.95,50,866.0398833373029,1508.5273424068691
B03,5,131.95,-39.05,274494.12,-34.45,-42.95,75,543.7016887101395,502.8424474689566
B03,5,146.75,-26.75,1872841.1,-14.75,-36.45,75,1453.2565255427037,1283.7271894207474
B03,5,118.15,-22.25,493044.12,-12.25,-31.25,75,439.11641969168187,1124.0007649306083
B03,5,98.25,-43.05,30820.953,-41.25,-44.95,100,140.94872257865316,218.88435948648717
B03,6,142.95,-36.05,1614816.4,-19.15,-50.75,75,862.9661711064213,1869.3907458845904
B03,6,1.75,-43.75,2301547.2,-34.25,-53.15,75,2066.1098093321243,1118.0849714309734
B03,7,50.85,-47.45,146228.2,-44.85,-50.35,75,450.88322932465775,325.368642479913
B03,7,71.05,-37.85,924981.88,-24.55,-50.35,50,607.9064496960705,1526.2747229057734
B03,7,-168.45,-33.75,10438624.0,0.250008,-57.25,75,3028.9387396551174,3401.5817355534787
B03,8,32.65,-45.35,326668.38,-40.15,-51.05,50,509.6233964322721,644.8214914601912
B03,8,113.75,-38.35,1170158.8,-28.25,-50.15,75,919.624168733176,1295.5587764200166
B03,8,69.15,-38.65,1812300.0,-22.25,-53.55,50,980.8459005361217,1851.6433653856861
B03,8,-60.45,-31.65,702933.44,-24.75,-38.15,50,886.8615300357598,792.7163289510605
B03,8,-177.15,-25.95,4589974.5,1.65,-52.95,75,1472.530789392691,3230.0232508005897
B03,9,-82.35,-25.95,799056.69,-13.05,-39.15,50,522.6858471280539,1544.0221034046774
B03,9,60.75,-37.05,528685.12,-31.15,-45.25,75,645.328295814542,834.1268834485044
B03,9,65.15,-49.45,732801.38,-45.35,-54.55,75,1361.8243843055295,544.2530019663994
