filename,date,lat_min,lat_max,lon_min,lon_max
possible_detections_J/mrom_0924_J12_049624_3239_MA_00N028W_2017-02-26_18to39_323to344.tif,2017-02-26,18,39,323,344
possible_detections_J/mrom_0923_J12_049588_3223_MA_00N125W_2017-02-23_-49to47_226to247.tif,2017-02-23,-49,47,226,247
possible_detections_J/mrom_0917_J11_049101_3002_MA_00N150W_2017-01-16_24to58_201to222.tif,2017-01-16,24,58,201,222
possible_detections_J/mrom_0927_J13_049841_3332_MA_00N191W_2017-03-15_38to60_160to181.tif,2017-03-15,38,60,160,181
possible_detections_J/mrom_0843_J04_046255_1657_MA_00N205W_2016-06-08_-55to-34_146to167.tif,2016-06-08,-55,-34,146,167
possible_detections_J/mrom_0917_J11_049095_3000_MA_00N346W_2017-01-15_36to52_5to26.tif,2017-01-15,36,52,5,26
possible_detections_J/mrom_0931_J14_050064_3425_MA_00N159W_2017-04-01_18to44_192to213.tif,2017-04-01,18,44,192,213
possible_detections_J/mrom_0844_J04_046275_1665_MA_00N031W_2016-06-10_-54to-30_320to341.tif,2016-06-10,-54,-30,320,341
possible_detections_J/mrom_0923_J12_049575_3217_MA_00N130W_2017-02-22_-39to41_221to242.tif,2017-02-22,-39,41,221,242
possible_detections_J/mrom_0876_J06_047180_2069_MA_00N259W_2016-08-19_-26to-2_92to113.tif,2016-08-19,-26,-2,92,113
possible_detections_J/mrom_0843_J04_046250_1655_MA_00N069W_2016-06-08_-54to-35_282to303.tif,2016-06-08,-54,-35,282,303
possible_detections_J/mrom_0922_J12_049496_3182_MA_00N134W_2017-02-16_14to61_217to238.tif,2017-02-16,14,61,217,238
possible_detections_J/mrom_0917_J11_049148_3024_MA_00N353W_2017-01-20_31to56_-2to19.tif,2017-01-20,31,56,-2,19
possible_detections_J/mrom_0872_J06_047041_2004_MA_00N064W_2016-08-08_-59to-40_287to308.tif,2016-08-08,-59,-40,287,308
possible_detections_J/mrom_0856_J05_046544_1781_MA_00N175W_2016-07-01_-59to-41_176to197.tif,2016-07-01,-59,-41,176,197
possible_detections_J/mrom_0859_J05_046644_1824_MA_00N026W_2016-07-08_-56to-15_325to346.tif,2016-07-08,-56,-15,325,346
